id,roomNumber,capacity,type
C101,C101,96,LECTURE_ROOM
C102,C102,96,LECTURE_ROOM
C103,C103,96,LIBRARY
C104,C104,96,LECTURE_ROOM
L106,L106,60,HARDWARE_LAB
L107,L107,35,COMPUTER_LAB
L108,L108,35,COMPUTER_LAB
C201,C201,96,LECTURE_ROOM
C202,C202,96,LECTURE_ROOM
C203,C203,96,LECTURE_ROOM
C204,C204,96,LECTURE_ROOM
C205,C205,96,LECTURE_ROOM
L206,L206,60,HARDWARE_LAB
L207,L207,35,COMPUTER_LAB
L208,L208,35,COMPUTER_LAB
L301,L301,96,LECTURE_ROOM
L302,L302,96,LECTURE_ROOM
L303,L303,96,LECTURE_ROOM
L304,L304,96,LECTURE_ROOM
L305,L305,96,LECTURE_ROOM
L306,L306,60,HARDWARE_LAB
L307,L307,35,COMPUTER_LAB
L308,L308,35,COMPUTER_LAB
L401,L401,96,LECTURE_ROOM
L402,L402,96,LECTURE_ROOM
L403,L403,78,LECTURE_ROOM
L404,L404,78,LECTURE_ROOM
L405,L405,45,COMPUTER_LAB
L406,L406,45,COMPUTER_LAB
L407,L407,45,COMPUTER_LAB
C002,C002,120,SEATER_120
C003,C003,120,SEATER_120
C004,C004,240,SEATER_240
