id,roomNumber,capacity,type
C101,101,96,LECTURE_ROOM
C102,102,96,LECTURE_ROOM
C103,103,96,LIBRARY
C104,104,96,LECTURE_ROOM
L106,106,35,COMPUTER_LAB
L107,L107,40,COMPUTER_LAB
L108,L108,40,COMPUTER_LAB
H109,H109,60,HARDWARE_LAB
C201,201,96,LECTURE_ROOM
C202,202,96,LECTURE_ROOM
C203,203,96,LECTURE_ROOM
C204,204,96,LECTURE_ROOM
C205,205,96,LECTURE_ROOM
L206,L206,40,COMPUTER_LAB
L207,L207,40,COMPUTER_LAB
L208,L208,40,COMPUTER_LAB
H209,H209,60,HARDWARE_LAB
L301,301,96,LECTURE_ROOM
L302,302,96,LECTURE_ROOM
L303,303,96,LECTURE_ROOM
L304,304,96,LECTURE_ROOM
L305,305,96,LECTURE_ROOM
L306,L306,40,COMPUTER_LAB
L307,L307,40,COMPUTER_LAB
L308,L308,40,COMPUTER_LAB
H309,H309,60,HARDWARE_LAB
L401,401,96,LECTURE_ROOM
L402,402,96,LECTURE_ROOM
L403,403,96,LECTURE_ROOM
L404,404,96,LECTURE_ROOM
L405,L406,40,COMPUTER_LAB
L406,L407,40,COMPUTER_LAB
L407,L408,40,COMPUTER_LAB
L408,H409,60,HARDWARE_LAB
C002,C002,120,SEATER_120
C003,C003,120,SEATER_120
C004,C004,240,SEATER_240
