Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
CSE,1,MA161,Statistics ,3.0,1.0,0.0,0.0,2.0,Dr.Ramesh athe,Yes
CSE,1,DS161,Introduction to DS and AI,3.0,1.0,0.0,0.0,4.0,Dr.Abdul Wahid,Yes
CSE,1,MA162,Probability ,3.0,1.0,0.0,0.0,2.0,Dr.Chinmmayananda, 
CSE,1,EC161,Digital Design,3.0,0.0,2.0,0.0,3.0,Dr.Prakash Pawar, 
CSE,1,CS161,Problem solving with Programming,2.0,1.0,0.0,2.0,3.0,Dr.Sunil PV/Dr.Sunil CK,Yes
CSE,1,HS161,English Language and Communication,3.0,0.0,0.0,2.0,3.0,Dr.Rajesh NS,Yes
CSE,1,B1-PH151 / B1-DS151 / B1-HS157,Introduction to Quantum Physiscs /Linux for Engineers /Hindustani Music,3.0,1.0,0.0,0.0,0.0,Prof.RaviShankar / Dr.Vivekraj / Dr.Chandrika Kamat,Yes
CSE,1,CS151,Introdution to CyS,3.0,1.0,0.0,0.0,0.0,Dr.Girish Revadigar,Yes
CSE,3,MA261,Differential Equation,3.0,1.0,0.0,0.0,4.0,Dr.Anand Barangi,Yes
CSE,3,CS261,Operating Systems,3.0,1.0,0.0,0.0,2.0,Dr. Suvadip Hazra,Yes
CSE,3,CS262,SDTT,3.0,0.0,2.0,0.0,4.0,Dr. Vivekraj/Dr. Sunil Kumar P V,Yes
CSE,3,CS263,DAA,3.0,1.0,0.0,0.0,4.0,Dr. Malay / Dr. Pramod Yelmand,Yes
CSE,3,CS264,Computer Networks,3.0,1.0,2.0,0.0,5.0,Dr. Prabhu Prasad,Yes
CSE,3,HS205,Ethics,3.0,0.0,0.0,0.0,3.0,"Dr. Ganesh P , IIT Hyd",Yes
CSE,5,CS307,Machine Learning,3.0,0.0,2.0,0.0,4.0,Dr. Girish GN/Dr. Krishnendu Ghosh,Yes
CSE,5,B1-CS471,Deep Learning for Computer Vision,3.0,1.0,0.0,0.0,4.0,Chinmayanand,Yes
CSE,5,B1-abc001,Large Languange Models,3.0,1.0,0.0,0.0,4.0,Dr. Sunil S,
CSE,5,B1-abc002,Natural Language Processing,3.0,1.0,0.0,0.0,4.0,Dr. Krishnendu,
CSE,5,B1-abc003,Deep Speech Processing,3.0,0.0,0.0,4.0,4.0,Prof. SRM Prasanna,
CSE,5,B1-abc004,CMOS RF Circuit Design,,,,,,Dr. Pankaj Kumar and Dr. Rajesh Kumar,
CSE,5,B2-abc005,Blockchain Technology,3.0,1.0,0.0,0.0,4.0,Dr. Rajendra H,Yes
CSE,5,B2-abc006,Introduction to 5G Network,3.0,1.0,0.0,0.0,4.0,Dr. Jagadeesha R Bhat,
CSE,5,B2-abc007,Model Checking,3.0,0.0,0.0,4.0,4.0,Dr. Pavan,
CSE,5,B2-abc008,Quantum Communication,3.0,0.0,0.0,0.0,3.0,Dr. Aswath B,
CSE,5,B2-abc009,Quantum HPC and AI,1.0,0.0,0.0,0.0,1.0,Dr. Manish M (Dr. Aswath),
